Question,Answer1,Answer2,Answer3,CorrectAnswer
Which of these winds is the fastest on the Beaufort Wind Scale?,1) Strong gale,2) Near gale,"3) Storm ",3
"In terms of miles traveled, which of these races is the longest?",1) Daytona 500,"2) Tour de France ",3) Iron Man Triathlon,2
"What is the zip code for Beverly Hills, California?",1) 10528,"2) 90210 ",3) 01209,2
Smokey the Bear often preaches that only YOU can prevent what?,1) Flash mobs,2) Reply all emails,"3) Forest fires ",3
"In the popular rhyme, April showers bring what?",1) CD towers,"2) May flowers ",3) Kenny Powers,2
The New-York Mirror newspaper notably employed which poet?,"1) Edgar Allan Poe ",2) Walt Whitman,3) Langston Hughes,1
Which of these does NOT appear in both the original Pac-Man and Ms. Pac-Man?,"1) Banana ",2) Apple,3) Strawberry,1
"Workers throughout Victoria, Australia get a day off every November for what sporting event?",1) Cricket match,"2) Horse race ",3) Rugby game,2
"On her first recording, Billie Holiday was accompanied by what jazz legend?","1) Benny Goodman ",2) Duke Ellington,3) Count Basie,1
Shopping mall staple Gadzooks was purchased by what fellow retailer?,"1) Forever 21 ",2) Hot Topic,3) Spencer's,1
Which of these exotic fruits is named for a local word for “hair”?,1) Durian,"2) Rambutan ",3) Lychee,2
Moore’s Law is a famous observation that concerns what?,1) Expansion of universe,2) Human evolution,"3) Computing power ",3
In which of these sports do competitors often wear jodhpurs?,1) Cricket,"2) Polo ",3) Jai alai,2
The classic book “The Grapes of Wrath” is about a family's journey to what state?,1) Alaska,"2) California ",3) Hawaii,2
"By definition, a person who is ambidextrous is able to do what?","1) Use both hands well ",2) Speak two languages,3) Whistle,1
American folk hero &amp; apple enthusiast John Chapman was known by what nickname?,1) Red Delicious Ricky,"2) Johnny Appleseed ",3) Chance the Appler,2
Hydroelectric power generates electricity from what?,1) Killer drum solos,2) Mean tweets,"3) Water ",3
Which of these famous TV judges got their start in criminal court?,1) Greg Mathis,2) Judy Sheindlin,"3) Joe Brown ",3
What distinction does airline Handley Page Transport have?,1) First inflight movie,"2) First to serve a meal ",3) First to check a bag,2
The terms of Amazon's web services contain a clause regarding potential attacks by what?,"1) Zombies ",2) Google,3) Underage hackers,1
Which of these television shows was NOT based on a British series?,"1) Say Yes to the Dress ",2) Wife Swap,3) Trading Spaces,1
Which of these teams won a Stanley Cup before the NHL was founded?,"1) Montreal Canadiens ",2) Boston Bruins,3) Toronto Maple Leafs,1
Which of these people is most likely to have a mutation in their melanocortin-1 receptor?,"1) Julianne Moore ",2) Jon Hamm,3) Lucy Liu,1
"Technically, all licensed U.S. dentists are also officially what?",1) Orthodontists,"2) Dental surgeons ",3) Private practitioners,2
What is the official language of the tiny nation between France and Spain?,"1) Catalan ",2) French,3) Spanish,1
What is the name for a word that came directly into English from another language?,1) Theftword,2) Giftword,"3) Loanword ",3
Which of these is the name of an actual room in the White House?,"1) China Room ",2) Balloon Room,3) Yoga Room,1
"By definition, what type of singing is usually done without any instrumental accompaniment?",1) Piano recital,"2) A cappella ",3) String quartet,2
"In the U.S., a massive amount of gold is kept where?",1) Frozen food aisle,"2) Fort Knox ",3) Louisiana swamplands,2
Which of these words is believed to come from a European dice game?,1) Shenanigans,2) Tomfoolery,"3) Hijinks ",3
Which of these is NOT the nickname of a World Darts Champion?,1) Limestone Cowboy,2) Deadly Boomerang,"3) Pinpoint King ",3
"In the Bible, which son of Jacob has the same mother as Joseph?","1) Benjamin ",2) Levi,3) Simeon,1
"Once a body of water, which of these regions is now dried out?","1) Aral Sea ",2) Caspian Sea,3) Lake Balkhash,1
Jane Morgan was a nom de plume for the author of which of these works?,1) Wuthering Heights,"2) Last of the Mohicans ",3) Jane Eyre,2
Which of these long-ago empires originated in North Africa?,"1) Carthaginian ",2) Ottoman,3) Byzantine,1
Which of these dogs falls into the American Kennel Club’s “Working Group”?,1) Golden retriever,2) Collie,"3) Boxer ",3
"What phrase completes the old English rhyme that begins, “Something old, something new”?",1) May your love be true,2) A single bond for two,"3) A sixpence in your shoe ",3
Which of these basketball terms is also a measurement of computer performance?,"1) Flops ",2) Dunks,3) Dimes,1
Ben &amp; Jerry’s Cherry Garcia flavor is a pun on the lead singer of what band?,"1) Grateful Dead ",2) Phish,3) Rolling Stones,1
Which of these is a popular breakfast item served with maple syrup?,1) English eggie weggies,2) Swedish House Mafia,"3) French toast ",3
The Girl Scouts hold an annual fundraiser by selling what?,1) Bootleg DVDs,2) Stock tips,"3) Cookies ",3
What startup's name came from the co-founder watching a Fellini movie?,1) Vimeo,2) Twilio,"3) Etsy ",3
Which of these is the name of one of the moons of the largest planet in our solar system?,"1) Kale ",2) Coriander,3) Vega,1
Which of these is NOT a breed of duck?,"1) Green Marsh ",2) Silver Bantam,3) Welsh Harlequin,1
Which concept is at the core of a dance style named for Martha Graham?,"1) Contraction &amp; release ",2) Lock &amp; leap,3) Pointe &amp; step,1
Which of these cities was founded two separate times?,1) Rome,2) Zurich,"3) Buenos Aires ",3
An annual holiday at Emory University features students being let out of class by what?,"1) Skeleton ",2) Peach mascot,3) Male cheerleaders,1
“Zen and the Art of Motorcycle Maintenance” gets its name from an earlier book about what?,"1) Archery ",2) Bicycling,3) Gardening,1
The military unit responsible for the Pope’s safety is composed of citizens of what country?,"1) Switzerland ",2) Italy,3) Vatican City,1
Who is the youngest current Supreme Court Justice?,1) Elena Kagan,2) Sonia Sotomayor,"3) Neil Gorsuch ",3
What is a common symptom of a deviated septum?,"1) Snoring ",2) Hearing loss,3) Rapid heartbeat,1
What is the name of the roller coaster feature that takes riders around in a complete circle?,1) Lose-the-hat,"2) Loop-the-loop ",3) Cry-the-tears,2
What meal combines elements of breakfast and lunch?,1) Linner,2) Supsert,"3) Brunch ",3
Which character appears in the Shakespeare play whose title comes first alphabetically?,1) Octavius Caesar,"2) Bertram ",3) Adriana,2
Which of these animals is NOT known for being able to reproduce without a male partner?,1) Komodo dragon,2) Hammerhead shark,"3) Mata mata turtle ",3
Which of these authors has a supermodel granddaughter?,1) Antoine de Saint-Exupéry,2) Maurice Sendak,"3) Roald Dahl ",3
Which of these films does NOT share a name with a NASA space probe?,1) Juno,2) Stardust,"3) Prometheus ",3
Which of these is traditionally a layer in a Nanaimo bar?,1) Ice cream,2) Whipped cream,"3) Butter icing ",3
Which skin mark is most likely to come and go with the seasons?,1) Rhytides,"2) Ephelides ",3) Lentigines,2
Which fashion designer did NOT graduate from the prestigious Central Saint Martins?,1) Riccardo Tisci,2) Zac Posen,"3) Olivier Rousteing ",3
What was the prime reason for the 14th-century leadership crisis in the Catholic church?,"1) Rival popes ",2) Emperor Charlemagne,3) Thirty Years’ War,1
Which of these is NOT the name of a geographical feature on the Moon?,1) Foaming Sea,"2) Sunset Sea ",3) Sea of Waves,2
Which company is listed on both the Dow Jones Industrial Average and the NASDAQ-100?,1) IBM,2) T-Mobile,"3) Intel ",3
The first flag of which state contained the Latin for “don’t touch me”?,1) Delaware,2) South Carolina,"3) Alabama ",3
Which of these was NOT a phone made by BlackBerry?,1) Electron,"2) Atom ",3) Quark,2
Which of these monuments lends its name to a common domestic chicken breed?,1) The Alamo,"2) Plymouth Rock ",3) Lincoln Memorial,2
"In the U.S., light intensity is often measured with a unit named what?",1) Hand-lamp,"2) Foot-candle ",3) Head-torch,2
The Marvin Gaye hit “What’s Going On” featured backup vocals by members of what team?,1) Kansas City Chiefs,"2) Detroit Lions ",3) New York Jets,2
The defunct channel Court TV briefly owned what popular website?,"1) The Smoking Gun ",2) http://Snopes.com&nbsp;,3) SCOTUSblog,1
What is the only U.S. state home to two Ivy League schools?,"1) New York ",2) Massachusetts,3) Pennsylvania,1
What traditional stew inspired the 1930s invention of the slow cooker?,1) Gumbo,2) Goulash,"3) Cholent ",3
"In the tech world, the acronym “IoT” typically stands for what?",1) Internet-Only Telephone,2) In/Out Transfer,"3) Internet of Things ",3
"What term is often used to describe overly ornate, flowery writing?",1) Blue prose,"2) Purple prose ",3) Violet prose,2
Which of these is NOT an ingredient in a traditional Chicago-style hot dog?,"1) Heated ketchup ",2) Yellow mustard,3) Sweet relish,1
Which article of clothing is also the name of a stinging insect?,1) Pink jeggings,2) Red sweatpants,"3) Yellow jacket ",3
Which of these is an optional section on the SAT standardized test?,1) Hot yoga,2) Laser tag,"3) Essay ",3
Which of these is a German clock with a bird inside?,1) Honey Boo Boo clock,"2) Cuckoo clock ",3) Biological clock,2
What was Galileo sentenced to do as punishment for writing about heliocentrism?,1) Pay indulgences,2) Destroy his library,"3) Recite psalms ",3
The protagonist of what classic novel is named after a real-life fireman?,"1) Adventures of Tom Sawyer ",2) Slaughterhouse-Five,3) Fahrenheit 451,1
"In the 1960s, Radio Shack was purchased by a company specializing in what?",1) High-end audio,2) Plastics,"3) Leather ",3
The Kuiper Belt is home to which of these bodies?,1) Jupiter,"2) Pluto ",3) Mars,2
Which of these symbols appears on the dice in Milton Bradley's Jumanji board game?,1) Rhinoceros,"2) Racquet ",3) Safari hat,2
Which of these is suggested in the Lamaze method of giving birth?,"1) Moving during labor ",2) Inducing at a set time,3) Birthing on your back,1
Norman Rockwell’s iconic Four Freedoms series contains a famous scene set where?,1) Baseball game,"2) Thanksgiving table ",3) Diner counter,2
"Which of these is the name of a real, finch-like songbird?",1) Whodah,"2) Whydah ",3) Howdah,2
Which of these pleasantly-scented plants is part of the mint family?,1) Hyacinth,2) Hydrangea,"3) Lavender ",3
"When it comes to college sports, what does the first “A” stand for in NCAA?",1) Amateur,"2) Athletic ",3) Academic,2
What TV show title would you say after clinking glasses for a toast?,1) Young Sheldon,"2) Cheers ",3) Kevin Can Wait,2
"In the kids’ song, “if you’re happy and you know it,” you do what?",1) Shuck some clams,"2) Clap your hands ",3) Steam a ham,2
Which of these screenwriters once co-wrote the script for a flop SNL film?,1) Aaron Sorkin,"2) Quentin Tarantino ",3) Carrie Fisher,2
The co-creators of Kazaa also helped develop which product?,"1) Skype ",2) Winamp,3) LimeWire,1
Which of these states does NOT currently have an In-N-Out?,"1) New Mexico ",2) Utah,3) Arizona,1
Which pop star appeared in the original film version of “Hairspray”?,"1) Colleen Fitzpatrick ",2) Blu Cantrell,3) Willa Ford,1
Which of these emperors' names translates in English to a small kind of footwear?,1) Augustus,2) Nero,"3) Caligula ",3
What was the inspiration behind the iconic Cartier “Love Bracelet”?,1) Eiffel Tower,2) Audrey Hepburn's profile,"3) Chastity belts ",3
"According to his own writings, how did St. Patrick first arrive in Ireland?","1) Brought by pirates ",2) Servant to a knight,3) Monastery messenger,1
"Big Major Cay, located on the eastern side of the Bahamas, is famous for what?",1) Migrating butterflies,"2) Feral pigs ",3) Black sand beaches,2
Queen Elizabeth II has famously kept what kind of dog as a pet for decades?,1) Chihuahua,2) Pomeranian,"3) Corgi ",3
"In the U.S., which of these beverages typically contains espresso?",1) Matcha latte,2) Café au lait,"3) Americano ",3
Which of these is most likely to emit lava?,1) Garden hose,2) Person's nose,"3) Volcanoes ",3
The liquid often used to disinfect hands is known as what?,1) Red #3 food dye,2) Soy sauce,"3) Sanitizer ",3
Which memorable word from “The Simpsons” also appears in Shakespeare’s “Richard II”?,1) Cromulent,2) Embiggens,"3) Unpossible ",3
Which of these is NOT the name of a trick in competitive yo-yoing?,1) Slack trapeze,2) Sword and shield,"3) Spiral drop ",3
The CEO of Domino’s came to the company after working with what kind of food?,1) Italian food,2) Mexican food,"3) Baby food ",3
The famed opera “Fidelio” has the same composer as what work?,"1) Für Elise ",2) The Magic Flute,3) La Traviata,1
"Oslo, Norway is home to a museum featuring thousands of what mini items?",1) PEZ dispensers,"2) Bottles ",3) Troll dolls,2
Which Spanish word is NOT a rhyme in the hit 2017 song “Despacito”?,"1) Amorito ",2) Manuscrito,3) Laberinto,1
Which of these universities has produced the most Heisman Trophy winners?,"1) Notre Dame ",2) Florida State,3) Auburn,1
Which swimsuit style was named after a coral reef?,1) Bandeau,2) Sarong,"3) Bikini ",3
Which of these is a real-life world-champion female fighter in the UFC?,"1) Cris Cyborg ",2) Ronda Robot,3) Allie Android,1
Which physical activity is performed in a space known as a “box”?,1) Tubing,"2) Crossfit ",3) Hiking,2
A lifeguard is most likely to keep watch over what?,"1) Swimming pool ",2) Movie drive-in,3) Chess match,1
"According to legend, what did St. Patrick drive out of Ireland?","1) All of the snakes ",2) Tesla roadster,3) Miss Daisy,1
Which of these was a real video game title featured in arcades in the 1980s?,1) Pac-Man 3,2) Dig Dug 3,"3) Donkey Kong 3 ",3
Which of these island groups is noteworthy for belonging to two different countries?,1) St. Pierre and Miquelon,"2) Diomede Islands ",3) Azores,2
The word “wisdom” is often used as a term to refer to a group of what animal?,1) Walrus,2) Wolverine,"3) Wombat ",3
"According to Emily Post, what is the ONLY fork placed on the right side of the plate?","1) Oyster fork ",2) Salad fork,3) Dessert fork,1
Which of these is NOT a common English meaning of the Spanish word “mañana”?,1) Morning,2) Tomorrow,"3) Last night ",3
"According to legend, what documents were once nailed to the door of the Wittenberg Church?",1) Joan of Arc's diary,"2) 95 Theses ",3) Codex Hammer,2
Which of these birds can fly?,"1) Whooper swan ",2) Cassowary,3) Emu,1
What are the two cities in Charles Dickens’ “A Tale of Two Cities”?,1) Manchester / Liverpool,2) Rome / Madrid,"3) London / Paris ",3
Tricking someone in order to achieve a goal is an act of what?,1) Centrifuge,2) Calcifuge,"3) Subterfuge ",3
Which of these is NOT a nickname for the NCAA Division I basketball tournament?,1) March Madness,2) Big Dance,"3) Summer Slam ",3
"As the old saying goes, when all you've got is a hammer, everything looks like a what?",1) Birthday cake,2) Thor,"3) Nail ",3
What is a photo you take of yourself commonly known as?,"1) Selfie ",2) Renaissance masterpiece,3) Narcissisto,1
What legendary singer has a son who has directed a Will Ferrell movie?,1) James Taylor,"2) Bob Dylan ",3) David Bowie,2
What nation’s unit of currency shares its spelling with a past-tense English verb?,"1) North Korea ",2) Qatar,3) Afghanistan,1
Which of these people is NOT credited as one of the discoverers of calculus?,1) Isaac Newton,2) Gottfried Leibniz,"3) Carl Friedrich Gauss ",3
Which of these places is geographically classified as an enclave?,1) Luxembourg,"2) San Marino ",3) Liechtenstein,2
“Posse cut” is common terminology in what profession?,1) Beautician,2) Animation director,"3) Record producer ",3
Which of theses video games is an example of an augmented-reality game?,1) Pokémon Dash,2) Super Mario Run,"3) Ingress ",3
"Among U.S. state capitals, what is unique about Vermont’s?",1) Only French name,2) Farthest north,"3) Least populated ",3
Which letter of the alphabet often acts as either a consonant or a vowel?,1) X,"2) Y ",3) Z,2
A common metaphor for an unpleasant subject is having what animal “in the room”?,1) Scorpion,2) Rattlesnake,"3) Elephant ",3
Which of these is a planet in our solar system?,1) Krypton,2) Tilted Towers,"3) Mars ",3
Which of these characters has appeared in the most episodes of television?,"1) Olivia Benson ",2) J.R. Ewing,3) Frasier Crane,1
What is the best-selling single-platform video game of all time?,1) Pokémon Red and Blue,2) GoldenEye 007,"3) Wii Sports ",3
Which of these must you enter to sail from the Black Sea to the Mediterranean?,1) Tyrrhenian Sea,2) Ionian Sea,"3) Aegean Sea ",3
A Londoner born within earshot of the St. Mary-le-Bow bells is said to be what?,1) Lion-hearted,2) Blessed,"3) Cockney ",3
Which of these self-proclaimed seers also wrote a well-known cookbook?,1) Long Island Medium,"2) Nostradamus ",3) The Amazing Kreskin,2
Which of these grocery store chains is owned by a German family?,1) Wegmans,"2) Trader Joe's ",3) Kroger,2
Which of these is the name of a Beatle AND a New Testament Gospel?,1) Paul,"2) John ",3) Luke,2
Which species is NOT one of humanity’s two closest living relatives?,"1) Orangutans ",2) Chimpanzees,3) Bonobos,1
Which term is commonly used to refer to completely non-functional computer hardware?,1) Shoe,2) Turnip,"3) Brick ",3
Which of these pies is typically made with a graham cracker crust?,1) Shepherd's Pie,2) Félix Pie,"3) Key Lime Pie ",3
"In the U.S., what do students typically complete right before going to college?","1) High school ",2) Graduate school,3) Grade school,1
Which of these do you usually need a ticket to enter?,1) Pennsylvania,2) Public library,"3) Movie theater ",3
What phrase does NOT appear in the lyrics of the rock classic “American Pie?”,1) Dirges in the dark,"2) Barefoot servants ",3) Fists of rage,2
Which of these sports has the most players per team?,1) Women's lacrosse,"2) Australian football ",3) Rugby union,2
What African country has a capital named for a U.S. president?,"1) Liberia ",2) Ghana,3) Togo,1
Which is generally NOT a business expense you can claim on U.S. federal taxes?,"1) Commuting to work ",2) Advertising,3) Ballpoint pens,1
“The cake is a lie” is a catchphrase originating in what hit video game?,"1) Portal ",2) BioShock,3) Minecraft,1
"In a 2000 film, Ed Harris played a painter most closely associated with what art movement?",1) Cubism,2) Impressionism,"3) Abstract expressionism ",3
Which of these groups was initially created to stop currency counterfeiting?,1) Dept. of Defense,2) Homeland Security,"3) Secret Service ",3
Which of these is most likely to be worn in a traditional Bavarian outfit?,"1) Dirndl ",2) Dashiki,3) Dhoti,1
Which vessels draw blood away from the heart?,1) Capillaries,"2) Arteries ",3) Veins,2
"To calculate the mathematical constant pi, divide the circumference of a circle by its what?","1) Diameter ",2) Crust,3) Area,1
Which haircut are male recruits most likely to get after joining the Army?,1) Beehive,"2) Buzzcut ",3) Bouffant,2
Which is a typical room in a suburban family home?,"1) Bedroom ",2) Foundry,3) Corral,1
"Which writer is credited with first penning the phrase, “Elementary, my dear Watson”?","1) P.G. Wodehouse ",2) Mark Twain,3) Graham Greene,1
Which of these films was NOT made by Japan's legendary Studio Ghibli?,1) Spirited Away,2) Kiki’s Delivery Service,"3) Kubo and the Two Strings ",3
What company's bankruptcy led Congress to create the Pension Benefit Guaranty Corporation?,1) Enron,"2) Studebaker ",3) Pan Am,2
Which of these skincare products is in the Smithsonian?,1) Nivea Creme,2) Carmex lip balm,"3) Stridex pads ",3
Which of these shows has NOT won a Golden Globe?,1) Jane the Virgin,"2) Shameless ",3) Crazy Ex-Girlfriend,2
Which of these brand mascots is usually seen in footwear?,1) Pillsbury Doughboy,"2) Energizer Bunny ",3) Tony the Tiger,2
A nebulizer helps administer medical treatment in what form?,"1) Mist ",2) Pills,3) Electrical current,1
What did the “S” in Ulysses S. Grant’s name stand for?,1) Samuel,"2) Nothing ",3) Stewart,2
What dance traditionally incorporates a technique called palmas?,1) Charleston,2) Cha-cha,"3) Flamenco ",3
What is an infant koala called?,"1) Joey ",2) Chandler,3) Ross,1
"In chess, which piece is typically the least powerful?",1) Queen B,"2) Pawn ",3) @KingJames,2
The place where your umbilical cord used to be is called what?,1) Lil’ puddle,2) Wishing well,"3) Belly button ",3
"Posted by the co-founder, the first-ever photo on Instagram featured what filter?",1) Nashville,"2) X-Pro II ",3) Hefe,2
Whitney Houston’s debut album contains two duets with whom?,1) Luther Vandross,"2) Jermaine Jackson ",3) Bobby Brown,2
Which of these innovators has appeared on the Italian 1000-lire note?,"1) Maria Montessori ",2) Giovanni Maria Farina,3) Candido Jacuzzi,1
Which of these body parts contains the islets of Langerhans?,1) Brain,2) Gallbladder,"3) Pancreas ",3
The giant panda’s scientific name is generally translated to “black and white” what?,1) Bamboo eater,"2) Cat-foot ",3) Sleep roller,2
Which of these refers to a blend of spices?,1) Fenugreek,"2) Vadouvan ",3) Marjoram,2
The Zambezi River can be found on which of these continents?,1) South America,2) Asia,"3) Africa ",3
What is the line dividing Earth into northern and southern hemispheres called?,1) Free throw line,2) Earth's waistline,"3) Equator ",3
Which of the following is NOT one of the eight primary ingredients in V8?,1) Lettuce,"2) Leeks ",3) Watercress,2
Which movie starring the rapper DMX is adapted from a novel?,"1) Never Die Alone ",2) Romeo Must Die,3) Belly,1
"If a pair of brothers marries a pair of sisters, what would a genealogist call their kids?","1) Double cousins ",2) Sibilate cousins,3) Cosanguines,1
"Around since 1996, which of these is one of the first-generation Pokémon?",1) Pupitar,2) Jumpluff,"3) Seaking ",3
Which artist reportedly got his signature look after leaving his regular glasses on a plane?,1) John Lennon,2) Buddy Holly,"3) Roy Orbison ",3
Loyola University’s “Madagascar Madness” is an annual race of what animal?,"1) Cockroach ",2) Civet,3) Aardvark,1
"On Disneyland’s first day in 1955, which attraction was NOT present?","1) It's a Small World ",2) Mad Tea Party,3) Mr. Toad's Wild Ride,1
“Long pimples” is slang for equipment in which sport?,1) Cricket,2) Golf,"3) Table tennis ",3
The Cascade Range runs through which of these states?,1) Colorado,"2) Oregon ",3) Montana,2
Edgar Allan Poe’s raven famously repeats what word?,"1) Nevermore ",2) Nevermind,3) Nevertheless,1
Actor John Wayne is most famous for playing what kind of character?,"1) Cowboy ",2) Big city lawyer,3) Boss baby,1
What genre of book typically contains a person's life story?,1) Telephone book,"2) Biography ",3) IKEA assembly manual,2
Which pair of countries have capital cities that start with the same letter?,"1) Nigeria / Netherlands ",2) Angola / Albania,3) Senegal / Serbia,1
"Before creating his own successful fast food operation, Dave Thomas worked for what chain?",1) McDonald's,2) Burger King,"3) KFC ",3
How does the IRS tax the digital currency known as Bitcoin?,1) Gambling income,2) Physical currency,"3) Property ",3
A successful jeans designer shares her name with which of these buildings?,1) Hearst Tower,2) 30 Rockefeller Plaza,"3) One Vanderbilt ",3
What does the PVC in PVC pipe stand for?,1) Plexar Valve &amp; Conduit,2) Peter Vescey Corp.,"3) Polyvinyl Chloride ",3
Which of these was the name of an American political splinter group?,"1) Mugwumps ",2) Gubbins,3) Ratoons,1
Where would a doctor typically place a sphygmomanometer?,"1) On your arm ",2) Over your eye,3) On your tongue,1
"Thanks to its colorful buildings, which of these places is known as the “Pink City”?","1) Rosario, Argentina","2) Budapest, Hungary","3) Jaipur, India ",3
"According to the National Weather Service, what differentiates a blizzard from a snowstorm?","1) Strength of wind ",2) Time of year,3) Air temperature,1
What’s the correct spelling of the word for a high school’s chief administrator?,"1) Principal ",2) Princepil,3) Principle,1
Which of these is widely used as a cleaning product?,1) Ranch dressing,2) Barbecue sauce,"3) Vinegar ",3
Which piece of camping gear do people typically sleep in?,1) Swiss Army knife,2) Propane stove,"3) Sleeping bag ",3
Ross Perot once provided a $3 million credit line to help establish which chain?,"1) GameStop ",2) Mills Fleet Farm,3) LongHorn Steakhouse,1
"In the Styx song “Mr. Roboto,” the narrator's brain is made by what tech company?",1) Xerox,"2) IBM ",3) Yamaha,2
"In the King James Bible, Job worries about the taste of what food?",1) Manna,2) Fish,"3) Egg whites ",3
The first player featured on the cover of “Madden NFL” primarily played what position?,1) Wide receiver,2) Quarterback,"3) Running back ",3
Which of these condiments was created by a monarch's personal chef?,1) Sriracha,2) Grey Poupon,"3) A.1. ",3
Which of these is a real Ivy League secret society?,"1) Pacifica House ",2) Serpent Club,3) Cross and Bones,1
The host of the first season of “Top Chef” was once married to whom?,1) Bobby Flay,"2) Billy Joel ",3) Salman Rushdie,2
Which of these clothing companies went public first?,1) Hermès,"2) Hugo Boss ",3) Ralph Lauren,2
Which of these Robin Williams characters is a real person?,1) Daniel Hillard,"2) Patch Adams ",3) T. S. Garp,2
In which of these movies does the bootstrap paradox play a key role?,"1) 12 Monkeys ",2) Alien,3) Gravity,1
Which women’s college basketball team saw its record 111-game win streak snapped in 2017?,1) Tennessee University,2) LSU,"3) UConn ",3
"When used in cookbooks, maceration typically means doing what to food?",1) Slicing it,2) Searing it,"3) Softening it ",3
"In a standard deck of playing cards, which king is holding an axe and facing sideways?","1) King of Diamonds ",2) King of Hearts,3) King of Clubs,1
In which of these places do brides traditionally get temporary tattoos of grooms' initials?,"1) India ",2) Mongolia,3) New Zealand,1
What is the name of the artistic logo renderings that appear on Google’s homepage?,1) Google Dudez,"2) Google Doodles ",3) Google Doodads,2
In which of these games do you yell the game's name when you win?,"1) Bingo ",2) Checkers,3) Chess,1
"In a 1952 musical, Gene Kelly was “Singin’ in the” what?",1) Drive-thru,"2) Rain ",3) Rocky Mountains,2
Which of these gadgets is designed to help you wake up?,1) Nose trimmer,2) Shake Weight,"3) Alarm clock ",3
Which animal does NOT appear on the St. Louis Cardinals' 2011 World Series rings?,1) Bird,2) Squirrel,"3) Snake ",3
Which of these schools had a future U.S. president officially serve as its president?,"1) Princeton University ",2) University of Virginia,3) Harvard University,1
"Thanks to its looks, a common European frog shares a name with what herb?",1) Chive,"2) Parsley ",3) Rosemary,2
Which of these countries did NOT change its name in the 20th century?,1) Iran,2) Cambodia,"3) Ecuador ",3
Which of these Amazon services was launched most recently?,"1) Amazon Music ",2) Amazon Mechanical Turk,3) Amazon Prime,1
"In U.S. credit, what did FICO originally stand for?","1) Fair, Isaac, and Company ",2) Fresh Investment Credit,3) Factual Income Operation,1
The classic version of the board game Operation asks players to remove a wrench from where?,1) Stomach,2) Head,"3) Ankle ",3
Antoni Gaudí's famous Sagrada Família cathedral can be found in what country?,1) France,"2) Spain ",3) Germany,2
A classic 1936 book about the Civil War is called “Gone with the” what?,1) WiFi,2) Waffle House,"3) Wind ",3
Korean pop music is often called what?,1) Hot jazz,2) Fiddlestick funk,"3) K-pop ",3
"In a pool hall, “firewood” is often used as slang for what?","1) Cheap pool cue ",2) Uneven pool table,3) Trick shot,1
What nation’s currency shares its name with an iconic Sylvester Stallone character?,"1) Panama ",2) Romania,3) Turkmenistan,1
Which historically black college is named for a member of the Rockefeller family?,1) Morehouse,"2) Spelman ",3) Howard,2
Which of these degrees qualifies you for the NASA Astronaut Candidate program?,"1) Clinical Psychology ",2) Aviation,3) Engineering Technology,1
"In the U.S. Daylight Saving Time system, which season falls under Standard Time?",1) None,2) Summer,"3) Winter ",3
"In 1992, which band released a single named for an alkali metal?",1) Green Day,"2) Nirvana ",3) Pearl Jam,2
What does the “I” in “FBI” stand for?,1) Information,2) Incorporated,"3) Investigation ",3
Where was Abraham Lincoln’s most famous address delivered?,1) Zendegi,"2) Gettysburg ",3) Tajikistan,2
Pickles are typically made with what ingredient?,1) Picks,2) Ells,"3) Cucumbers ",3
"In 1943, Major League Baseball stopped using what material in game balls?","1) Rubber ",2) Yarn,3) Cork,1
Chat app Airtime was launched by the founder of what startup?,"1) Napster ",2) Myspace,3) Blogger,1
A men's size 10 shoe in the U.S. is what size in Japan?,1) Size 10,2) Size 7.5,"3) Size 28 ",3
Which of these iconic U.S. buildings did NOT have the same architect as the other two?,"1) Transamerica Pyramid ",2) Fallingwater,3) New York Guggenheim,1
What was the first Disney Channel series to run for 100 episodes?,1) Even Stevens,2) Kim Possible,"3) That's So Raven ",3
The Notorious B.I.G. shares his real last name with the lead character in which film?,"1) Braveheart ",2) Amadeus,3) Malcolm X,1
Which of these influential authors wrote the fewest published books?,1) Fran Lebowitz,"2) John Kennedy Toole ",3) J.D. Salinger,2
Which of these Hugh Grant movies is rated R?,"1) Love Actually ",2) About a Boy,3) Notting Hill,1
Which dessert shares its name with a Korean food made with intestines?,1) Rice pudding,2) Panna Cotta,"3) Sundae ",3
Which of these singers is famous for playing the trumpet?,1) Mary J. Blige,2) Frank Sinatra,"3) Louis Armstrong ",3
Which of these is a major landmark in China?,1) The Great Waffle,2) The Great Waterslide,"3) The Great Wall ",3
Which of these is a popular movie theater snack?,"1) Popcorn ",2) Clam chowder,3) Boiled hog knuckles,1
"In Europe, the two largest Channel Islands lend their names to breeds of what animal?",1) Sheep,"2) Cows ",3) Dogs,2
Which of these people has NOT given a Harvard Commencement speech?,1) Madeleine Albright,2) Oprah Winfrey,"3) Sonia Sotomayor ",3
The lead singer of Oingo Boingo provided music for which of these films?,1) Life of Pi,2) Her,"3) Fifty Shades of Grey ",3
Which of these words was used for a long time to refer to the letter “Z”?,"1) Izzard ",2) Zephyr,3) Zelda,1
What was the name of Calvin’s schoolteacher in the comic “Calvin and Hobbes”?,"1) Miss Wormwood ",2) Ms. Braithwaite,3) Mrs. Crassbender,1
"Thanks to how the French language works, what is NATO called in France?",1) NAOT,2) NOTA,"3) OTAN ",3
Which of these is an official regulation for U.S. bourbon production?,1) Less than 50% corn,2) Made in Kentucky,"3) Aged in oak container ",3
"According to the U.S. government, which of these is correct?","1) Daylight Saving Time ",2) Daylight Savings Time,3) Daylight Saving's Time,1
